"","RBF GP","RBF KSVM","GLGP","sparseGLGP","Nystrom extension","SRFLAG","SKFLAG","LRFLAG","LKFLAG"
"error.rates","47.3(2.3)","46.8(3.1)","46.1(8.3)","1(1.9)","44.7(8.6)","19.6(5.3)","3.1(3.4)","27.4(5.4)","7(4.2)"
"time","0.10","0.03","1.40","2.71","1.58","1.92","5.57","0.12","0.14"
"error.rates.1","44.2(2.4)","44.7(2.5)","17.6(2.9)","0.2(0.7)","16.7(3.6)","12.3(2.6)","0.7(1.6)","17.3(3.2)","3.9(2.5)"
"time.1","0.11","0.01","1.55","2.97","1.74","2.09","5.98","0.17","0.20"
"error.rates","46.1(3)","46.7(2.4)","46.8(6.9)","0.1(0.4)","44.6(8.7)","16.5(4.2)","0(0)","26.9(4.8)","3.3(2.9)"
"time","0.19","0.02","9.21","4.37","3.99","1.36","2.29","0.16","0.18"
"error.rates.1","44.8(2.4)","45(3.1)","17.6(3.4)","0(0)","16.2(3.8)","12(3.5)","0(0.2)","18.1(3.5)","1.5(1.4)"
"time.1","0.20","0.03","9.33","4.63","4.12","1.58","2.59","0.21","0.24"
"error.rates","46.8(2.1)","47.1(2.5)","47.7(5.7)","0(0)","41.3(9.6)","17.8(4.7)","0(0)","27(4.4)","1.1(2.6)"
"time"," 0.48"," 0.04","59.74","15.61"," 7.38"," 1.59"," 1.98"," 0.27"," 0.33"
"error.rates.1","45.3(2)","46.4(1.3)","17.1(3.8)","0(0)","17.3(3.4)","9.7(3.9)","0(0)","19.5(3.5)","0.3(0.7)"
"time.1"," 0.52"," 0.06","59.72","15.84"," 7.54"," 1.81"," 2.34"," 0.33"," 0.40"
